date, pm25, pm10, o3, no2, so2, co
2022/9/5, 71, 48, 37, 27, 2, 4
2022/9/6, 65, 51, 40, 22, 2, 4
2022/9/7, 67, 28, 20, 14, 1, 3
2022/9/8, 52, 15, 16, 12, 1, 4
2022/9/9, 27, 42, 16, 27, 3, 6
2022/9/10, 63, 42, 30, 19, 2, 5
2022/9/11, 65, 22, 19, 10, 1, 4
2022/9/12, 48, 35, 21, 17, 1, 5
2022/9/13, 57, 34, 16, 23, 1, 5
2022/9/14, 57, 47, 28, 24, 2, 6
2022/9/15, 69, 50, 33, 27, 2, 6
2022/9/16, 72, 47, 22, 18, 1, 6
2022/9/17, 80, 33, 17, 13, 1, 6
2022/9/18, 64, 17, 19, 7, 1, 4
2022/9/19, 38, 24, 26, 8, 1, 5
2022/9/20, 56, 22, 18, 12, 1, 4
2022/9/21, 39, 20, 24, 13, 1, 5
2022/9/22, 28, 33, 26, 21, 2, 5
2022/9/23, 39, 47, 18, 26, 2, 7
